Province,Prefecture-level Cities
北京市,"东城区, 西城区, 朝阳区, 海淀区, 丰台区, 石景山区"
天津市,"和平区, 河东区, 河西区, 南开区, 河北区, 红桥区"
上海市,"黄浦区, 徐汇区, 长宁区, 静安区, 普陀区, 虹口区"
重庆市,"渝中区, 大渡口区, 江北区, 沙坪坝区, 九龙坡区, 南岸区"
河北省,"石家庄市, 唐山市, 秦皇岛市, 邯郸市, 邢台市, 保定市, 张家口市, 承德市, 沧州市, 廊坊市, 衡水市"
山西省,"太原市, 大同市, 阳泉市, 长治市, 晋城市, 朔州市, 晋中市, 运城市, 忻州市, 临汾市, 吕梁市"
内蒙古自治区,"呼和浩特市, 包头市, 乌海市, 赤峰市, 通辽市, 鄂尔多斯市, 呼伦贝尔市, 巴彦淖尔市, 乌兰察布市, 兴安盟, 锡林郭勒盟, 阿拉善盟"
广西壮族自治区,"南宁市, 柳州市, 桂林市, 梧州市, 北海市, 防城港市, 钦州市, 贵港市, 玉林市, 百色市, 贺州市, 河池市, 来宾市, 崇左市"
西藏自治区,"拉萨市, 日喀则市, 昌都市, 林芝市, 山南市, 那曲市, 阿里地区"
宁夏回族自治区,"银川市, 石嘴山市, 吴忠市, 固原市, 中卫市"
新疆维吾尔自治区,"乌鲁木齐市, 克拉玛依市, 吐鲁番市, 哈密市, 昌吉回族自治州, 博尔塔拉蒙古自治州, 巴音郭楞蒙古自治州, 阿克苏地区, 克孜勒苏柯尔克孜自治州, 喀什地区, 和田地区, 伊犁哈萨克自治州, 塔城地区, 阿勒泰地区"
香港特别行政区,"香港岛, 九龙, 新界"
澳门特别行政区,"澳门半岛, 氹仔岛, 路环岛"
台湾省,"台北市, 高雄市, 台中市, 台南市, 新北市, 桃园市, 新竹市, 基隆市, 嘉义市, 苗栗县, 彰化县, 南投县, 云林县, 屏东县, 宜兰县, 花莲县, 台东县, 澎湖县"
